id;name;address;website
1;Isle;benchmark;Loan payment
2;transparent Rue;Generic Customizable International;orchid
3;Handcrafted Metal Berkshire;backing drive Steel;Ball Metal Automotive
4;Martinique Quality e-markets;Central standardization;Towels Tuna architecture
5;Philippines;CSS;Computer Hat
6;Southern middleware;encompassing magnetic Grass-roots;Shoes Investment Extensions
7;Car;Bacon architectures;invoice Borders composite
8;Alley;maroon Bolivia;Fantastic AI
9;Azerbaijanian plug-and-play firewall;redundant;structure payment
10;eco-centric Borders;Pants;dynamic indexing RAM
